filename,SubmissionYear,source_type,text,C1__expert,C2__expert,C3__expert,C4__expert,C5__expert,C6__expert,C1,C2,C3,C4,C5,C6,C1_flag,C2_flag,C3_flag,C4_flag,C5_flag,C6_flag,C1_rationale,C2_rationale,C3_rationale,C4_rationale,C5_rationale,C6_rationale,narrative_feedback,element_score_raw,expert_score,fractional_part,score_type,band_center_distance,selection_year,selection_band
Case003_555550.pdf,2025,,,2,3,3,2,4,1,2,4,3,2,4,1,,,,,,,"The design requirements reference a stakeholder, Mr. Hanna, and some zoo visits, indicating some prior research, but the linkage is limited and not comprehensive. The document does not clearly relate 20%-39% or more of the requirements to prior research.","The design requirements are listed and prioritized into high, medium, and low priority categories, and generally clear with some detail. However, some requirements lack full specificity or measurable detail, preventing a top score.","The document explicitly identifies five high-priority requirements but only three are clearly described as high priority (three segments, handles, locking gate, weight management, visibility). The text explicitly labels five items as high priority, so score 5 would be justified, but the clarity and explicitness of all five as high priority is somewhat uneven, so a conservative 3 is appropriate.","Some requirements include measurable elements (e.g., box dimensions, number of handles), but many are vague or subjective (e.g., 'sturdy and comfortable handles', 'easy to clean'). Measurability is inconsistent and often implied rather than clearly defined.","The requirements are likely to lead to a tangible and viable solution, with modular boxes, locking gates, and handles clearly supporting a feasible design. The connection to solution is strong but not fully comprehensive or detailed enough for a 5.","There is evidence of validation from one primary stakeholder group (Mr. Hanna, assistant curator), but no indication of multiple primary stakeholder groups or broader validation.","The portfolio shows some linkage of design requirements to prior research, primarily through a single stakeholder, earning a C1 score of 2. The requirements are well organized and prioritized into high, medium, and low categories, justifying a C2 score of 4, though some lack full specificity. While five high-priority requirements are mentioned, only three are clearly emphasized, resulting in a C3 score of 3. Measurability is inconsistent, with some objective criteria but many subjective terms, leading to a C4 score of 2. The requirements are well connected to a viable solution, meriting a C5 score of 4, but the evidence of validation is limited to one stakeholder group, so C6 scores 1. To improve, the student should explicitly link more requirements to prior research or multiple sources, enhance measurability by defining clear, testable criteria for each requirement, clarify and consistently emphasize all high-priority requirements, and seek validation from additional primary stakeholders to strengthen the design justification and stakeholder representation.",2.666666667,2.5,0.5,half,0,2025,3-Feb
Case005_245343.pdf,2025,,,2,3,4,2,4,3,2,4,5,2,4,3,,,,,,,"The design requirements include rationales that imply some prior research or understanding of user needs, but explicit linkage to prior research is minimal and vague, indicating only partial fulfillment.","Requirements are clearly listed and prioritized into high and low priority categories, with generally clear and detailed descriptions, though some could be more specific.",Five design requirements are explicitly identified as high priority.,"Some requirements include measurable elements (e.g., lasting 4-6 years, under $150), but many rely on subjective terms like 'nice environment' or 'engaged,' indicating only occasional objectivity and measurability.","The requirements are likely to lead to a tangible and viable solution, as they focus on safety, durability, adaptability, and usability, but some requirements are somewhat general, limiting full clarity.","There is evidence of stakeholder validation from discussions with primary stakeholders, but the extent is described in general terms without quantification, suggesting moderate representation.","The design requirements show some connection to prior research or user needs but lack explicit, well-documented evidence, resulting in a C1 score of 2. The requirements are well organized and prioritized, earning a strong C2 score of 4, with five high-priority requirements clearly identified (C3=5). However, many requirements are only partially objective or measurable, leading to a modest C4 score of 2. The requirements are generally well aligned to produce a viable solution, meriting a C5 score of 4, though some could be more specific to strengthen this link. Stakeholder validation is present but not quantified or deeply detailed, so C6 is scored 3. To improve, the team should explicitly reference prior research to strengthen C1, enhance measurability by defining clear metrics for engagement and aesthetics to raise C4, and provide more detailed evidence of stakeholder involvement with quantifiable feedback to improve C6. Additionally, refining some requirements to be more specific and testable would further solidify the solution’s feasibility and clarity.",3.333333333,3,0,integer,0.5,2025,4-Mar
Case006_000300.pdf,2025,,,1,2,1,2,2,1,1,2,1,2,3,1,,,,,,,"The document mentions that the AI requirements relate to reducing medical staff workload and references FDA approval of similar AIs, implying some prior research, but this connection is minimal and not explicitly developed or detailed.","Several design requirements are listed, such as workload reduction, image reading capability, consistency, and adaptability, but there is no clear prioritization or detailed structure, and some requirements lack specificity.",Only one design requirement is clearly identified as high priority—the reduction of medical staff workload; other requirements are mentioned but not explicitly prioritized as high priority.,"Some requirements include measurable elements, like a 20% workload reduction over six months, but many are vague or subjective, such as consistency and adaptability without clear metrics.","The requirements have potential to lead to a tangible solution, as indicated by the mention of a hit or miss scale and FDA approval, but the explanation is limited and lacks depth to confirm strong feasibility.","There is minimal evidence of stakeholder validation; the document only states that similar AIs have FDA approval, which implies some stakeholder involvement but does not demonstrate direct validation of these specific requirements by multiple primary stakeholder groups.","The evaluation of Element C reveals several areas needing improvement. For C1, the linkage to prior research is minimal and should be explicitly detailed to strengthen the foundation of the design requirements. In C2, while multiple requirements are listed, they lack clear prioritization and sufficient detail; organizing and prioritizing these requirements explicitly would enhance clarity. C3 shows only one high-priority requirement identified; the student should clearly mark at least three to five high-priority requirements to meet higher rubric levels. Regarding C4, measurable criteria are inconsistently applied; defining objective, quantifiable metrics for all requirements would improve measurability. For C5, the potential to lead to a viable solution is present but underdeveloped; elaborating on how each requirement directly supports solution feasibility would be beneficial. Lastly, C6 demonstrates minimal stakeholder validation; including evidence of direct feedback or validation from multiple primary stakeholder groups would strengthen this aspect. To improve, the student should explicitly connect requirements to prior research, clearly prioritize and detail requirements, define measurable criteria consistently, deepen the justification of solution viability, and provide concrete stakeholder validation evidence.",1.666666667,1.5,0.5,half,0,2025,2-Jan
Case014_133312.docx,2025,,,3,3,4,4,4,3,3,4,4,4,5,3,,,,,,,"The design requirements are related to prior research in a general sense, referencing the importance of soil moisture for plant health and water usage, but the linkage to specific prior research or detailed literature is not explicit or comprehensive.","The requirements are listed, prioritized (high and low priority), generally clear, and detailed with explanations for each, but the fifth requirement is presented with a formatting issue (number 5 on a new line), and some details could be more specific.","Four design requirements are explicitly identified as high priority: Accurate Soil Moisture Detection, Real-Time Feedback System, Power Supply Stability, and Ease of Use (though Ease of Use is described as low priority, so only three are clearly high priority). However, the text states Ease of Use and Cost Effectiveness are low priority, so only three high-priority requirements are clearly identified, which corresponds to a score of 3. But since the rubric requires exact counts, and only three are high priority, score is 3.","Most design requirements are objective and measurable, such as accuracy within 10%, real-time feedback via LED, and stable power supply. Some requirements like Ease of Use and Cost Effectiveness are less measurable but overall the requirements are nearly always objective and measurable.","The design requirements clearly would be highly likely to lead to a tangible and viable problem solution, as they focus on core functional aspects (accuracy, feedback, power stability) essential for the system's success.","There is evidence of validation from primary stakeholder groups (casual gardeners and students) with informal feedback from instructor and classmates, but this is limited and informal, representing about 40%-59% of primary stakeholder groups, matching a score of 3.","The student document demonstrates a generally adequate connection of design requirements to prior research (C1=3), though it lacks explicit citations or detailed linkage to specific studies. The requirements list is well-structured and prioritized with clear explanations, earning a strong score (C2=4), but minor formatting issues and some vagueness in lower-priority items limit a perfect score. Only three requirements are clearly identified as high priority, resulting in a moderate score for C3=3; clearer and more consistent prioritization would improve this. Most requirements are objective and measurable, such as accuracy thresholds and real-time feedback, justifying a near-top score (C4=4). The requirements are well-aligned to produce a viable solution (C5=5), showing strong feasibility. Stakeholder validation is present but informal and limited to a small group, meriting a mid-level score (C6=3). To improve, the student should explicitly reference prior research sources to strengthen C1, clarify and consistently apply prioritization to increase C3, enhance measurability for lower-priority requirements, and seek more formal and diverse stakeholder validation. Additionally, improving formatting and completeness of the requirements list would enhance clarity and professionalism.",3.833333333,3.5,0.5,half,0,2025,4-Mar
Case017_325210.pdf,2025,,,0,3,4,1,4,0,0,3,5,1,4,0,,,,,,,There is no explicit evidence that the design requirements are related to prior research; the document does not reference any research or prior work.,"Design requirements are listed and prioritized into high and low priority categories, generally clear, and somewhat detailed, but some requirements lack specificity and clarity.",Five design requirements are explicitly identified as high priority.,Most design requirements lack objective and measurable criteria; they are described in general terms without quantifiable metrics.,"The design requirements are likely to lead to a tangible and viable problem solution, as they focus on detection, suppression, notification, structural stability, and livability.",There is no evidence that the requirements represent the needs of or have been validated by any primary stakeholder groups.,"The portfolio scores a 0 on C1 because it lacks any reference to prior research or evidence linking the design requirements to existing knowledge. For C2, the requirements are listed and prioritized into high and low categories and are generally clear, but some lack sufficient detail or specificity, resulting in a score of 3. The student clearly identifies five high-priority requirements, earning a 5 for C3. However, the requirements are mostly subjective and lack measurable criteria, leading to a low score of 1 for C4. The requirements are well aligned with a viable solution approach, meriting a 4 for C5. There is no indication that any primary stakeholders were consulted or validated the requirements, so C6 scores 0. To improve, the student should explicitly connect requirements to prior research, add measurable and objective criteria to each requirement, provide more detailed and specific descriptions, and include evidence of stakeholder involvement or validation. These steps would strengthen the rigor and completeness of the design requirements and better support the development of a viable solution.",2.166666667,2,0,integer,0.5,2025,3-Feb
Case039_555555.pdf,2025,,,4,4,4,4,5,3,4,4,5,5,5,3,,,,,,,"The design requirements are clearly related to prior research and consultation with teachers and stakeholders, as evidenced by multiple references to forensic science teachers, engineering teachers, and students. The requirements are well grounded in the context of the blood splatter lab and its constraints, showing a strong connection to prior research, though not explicitly quantified as a percentage.","The requirements are listed and prioritized into high and low importance categories, generally clear, and detailed. However, the prioritization is somewhat implicit and not always consistently structured or explicitly labeled, which prevents a top score.","The document explicitly identifies five high-priority design requirements, including angle adjustment accuracy, secure paper holding, cost limit, ease of reset, and durability, meeting the rubric's highest threshold.","Most design requirements are objective and measurable, with clear metrics such as angle increments, cost limits, time to reset, weight limits, and durability tests described, fulfilling the rubric's criteria for consistent objectivity and measurability.","The requirements are highly likely to lead to a tangible and viable solution, as they directly address core functional needs such as angle adjustment, paper holding, durability, and usability, all critical to the apparatus's success.","There is evidence of validation from one primary stakeholder group (Dr. Kovacs), with some mention of consulting teachers and students, but no clear evidence that 40%-59% or more of primary stakeholder groups have validated the requirements.","The student document demonstrates strong alignment with prior research and consultation, earning a score of 4 for C1, as the requirements are well grounded but not fully quantified. The requirements list is detailed and prioritized, meriting a 4 for C2, though clearer explicit prioritization would improve clarity. The identification of five high-priority requirements is explicit and comprehensive, justifying a top score of 5 for C3. The requirements are consistently objective and measurable, earning a 5 for C4, with clear metrics and testing methods described. The design requirements clearly support a viable solution, also scoring 5 for C5. However, stakeholder validation is limited to one primary group with some informal consultation, resulting in a moderate score of 3 for C6. To improve, the student should explicitly quantify the linkage to prior research, clarify and label prioritization more systematically, expand stakeholder validation to include multiple groups with documented feedback, and ensure all requirements are consistently linked to measurable criteria. These steps would strengthen the rigor and completeness of the design requirements presentation.",4.333333333,4,0,integer,0.5,2025,5-Apr
Case040_455552.pdf,2025,,,4,4,5,4,5,5,5,5,5,4,5,5,,,,,,,"The design requirements explicitly reference prior research and stakeholder input, such as failures in manual scheduling, static timers, and sources like ScienceDirect and ResearchGate, demonstrating 80%-100% linkage to prior research.","The requirements are clearly listed, explicitly prioritized into high and low priority, and detailed with specific criteria and context, fulfilling the highest rubric level.","Five design requirements are explicitly identified as high priority, meeting the rubric's top score for quantity of high-priority requirements.","Most requirements are objective and measurable, such as device power usage in kW, number of devices handled, and time categorization, though some language (e.g., 'plain, understandable language') is less strictly measurable, so not fully consistent.","The requirements clearly and directly support a tangible, viable solution, addressing real problems with dynamic decision-making, user input, and system stability, indicating a comprehensive path to implementation.","There is explicit evidence that requirements were approved by stakeholders and reflect their needs, with multiple references to stakeholder validation, indicating 80%-100% primary stakeholder group representation.","The student demonstrates exceptional linkage of design requirements to prior research and stakeholder input, earning a top score of 5 for C1. The requirements are well-structured, clearly prioritized, and detailed, justifying a 5 for C2. With five high-priority requirements explicitly identified, C3 also scores a 5. While most requirements are objective and measurable, some subjective phrasing prevents a perfect score, resulting in a 4 for C4. The requirements strongly support a viable and tangible solution, meriting a 5 for C5. Stakeholder validation is clearly documented, earning a 5 for C6. To improve, the student could enhance measurability by defining clearer metrics for subjective criteria like language clarity, provide more explicit quantitative validation from multiple stakeholder groups, and include a more formal prioritization framework to strengthen clarity. Additionally, integrating more detailed references to research sources would further solidify the research linkage. These refinements would elevate the work from strong to exceptional across all categories.",4.833333333,4.5,0.5,half,0,2025,5-Apr
Case075_000001.pdf,2025,,,1,1,0,1,1,0,1,1,0,1,2,0,,,,,,,The design requirements are mentioned but there is no explicit connection to prior research or documented evidence of research informing the requirements.,Design requirements are listed in a basic manner but prioritization is only attempted and unclear; the requirements are general and lack detailed specificity.,There is no clear identification or labeling of any design requirements as high priority.,"Some measurements are given, but many requirements lack consistent objective and measurable criteria, and some are vague or subjective.","The design requirements have some potential to lead to a tangible solution, but the descriptions are incomplete and feasibility is not fully established.",There is no evidence that the design requirements have been validated by any primary stakeholder groups.,"The student’s work shows minimal linkage of design requirements to prior research, resulting in a low C1 score of 1. The requirements are listed but lack clear prioritization and detail, earning a C2 score of 1. No requirements are explicitly identified as high priority, so C3 is scored 0. While some measurements are provided, the requirements are inconsistently objective and measurable, meriting a C4 score of 1. The requirements show some potential to lead to a solution but lack completeness and feasibility details, resulting in a C5 score of 2. There is no evidence of stakeholder validation, so C6 is scored 0. To improve, the student should explicitly connect requirements to prior research, clearly prioritize and detail each requirement, identify and label high-priority requirements, and ensure all requirements are objectively measurable. Additionally, involving and documenting feedback from primary stakeholders would strengthen validation and overall design rigor.",0.833333333,0.6666666666666666,0.667,other,0.16666666666666663,2025,0-1
Case077_000110.pdf,2025,,,1,1,0,1,1,0,1,1,0,1,2,0,,,,,,,"The design requirements are listed but there is no explicit connection or reference to prior research, so only minimal evidence of linkage to prior research is present.","Design requirements are listed but prioritization is weak and inconsistent; weights are given but the list lacks clear structure and detailed explanation, making prioritization only attempted and partial.","The document does not explicitly identify any design requirements as high priority; although weights are assigned, no clear labeling or count of high-priority requirements is provided.","Most requirements are stated in subjective or qualitative terms without measurable criteria; for example, 'must last 10 days' is measurable but others like 'automatic' or 'self sufficient' lack clear objective metrics.","The requirements have some potential to lead to a tangible solution as they relate to watering plants and system features, but the lack of clarity and detail weakens the direct connection to a viable solution.",There is no evidence of validation or representation of needs from any primary stakeholder groups in the document.,"The student’s work shows minimal linkage of design requirements to prior research, resulting in a low C1 score of 1. The requirements are listed with some weighting, but prioritization is weak and unclear, earning a C2 score of 1. No requirements are explicitly identified as high priority, so C3 is scored 0. Most requirements lack objective, measurable criteria, reflected in a C4 score of 1. While the requirements relate to the problem, their vague nature limits their ability to clearly lead to a viable solution, meriting a C5 score of 2. Finally, there is no evidence of stakeholder validation, so C6 scores 0. To improve, the student should explicitly connect requirements to prior research, clearly label and justify priority levels, define measurable criteria for each requirement, and document validation from primary stakeholders. Additionally, providing more detailed and structured requirements would strengthen the link to a feasible solution. These steps would enhance clarity, rigor, and the overall quality of the design requirements presentation.",0.833333333,0.6666666666666666,0.667,other,0.16666666666666663,2025,0-1
Case117_010111.pdf,2025,,,2,2,0,1,3,1,2,2,0,1,4,1,,,,,,,"The document states that design requirements are based on stakeholder input and research, but it does not provide explicit evidence or detail linking the requirements directly to prior research, so only limited fulfillment is evident.",Design requirements are listed but lack clear prioritization and some specificity; the list is somewhat general and does not show a structured or detailed prioritization.,"The document does not explicitly identify or label any design requirements as high priority, so no high-priority requirements can be counted.","The requirements are mostly subjective and lack measurable criteria; terms like 'compact yet spacious,' 'durability,' and 'visually appealing' are not objectively defined or measurable.","The design requirements are clearly related to a tangible and viable solution for an organizer, addressing space, compartments, durability, aesthetics, and sustainability, making it likely to lead to a viable solution.","There is mention of stakeholder input but no evidence of validation by multiple primary stakeholder groups or quantification of such validation, indicating minimal evidence.","The submission shows limited linkage of design requirements to prior research, earning a score of 2 for C1, as the connection is mentioned but not explicitly demonstrated. The requirements are listed but lack clear prioritization and detail, resulting in a C2 score of 2. No requirements are explicitly identified as high priority, so C3 is scored 0. Most requirements are subjective and lack measurable criteria, meriting a low C4 score of 1. However, the requirements are well aligned with a tangible and viable solution, justifying a C5 score of 4. Stakeholder validation is minimally evidenced, with only a general mention of input, leading to a C6 score of 1. To improve, the student should explicitly link requirements to prior research with citations or summaries, clearly prioritize and detail each requirement, identify and label high-priority requirements, and define measurable criteria for each. Additionally, documenting validation from multiple primary stakeholder groups would strengthen the submission. These steps would enhance clarity, rigor, and alignment with rubric expectations.",1.666666667,1.5,0.5,half,0,2025,2-Jan
