filename,source_type,text,E1__expert,E2__expert,E3__expert,E4__expert,E5__expert,E1,E2,E3,E4,E5,E1_flag,E2_flag,E3_flag,E4_flag,E5_flag,E1_rationale,E2_rationale,E3_rationale,E4_rationale,E5_rationale,narrative_feedback,element_score_raw
Case001_03342.pdf,,Placeholder text for scoring.,0,3,3,4,2,3,3,2,2,2,,,,,,,,,,,"E1: There are no connections made between STEM principles/practices and the design requirements. 
E2: The design process is related to STEM principles/practices, though not the propose solution itself. 
E3 & E4: There is some evidence that the process was reviewed by experts; one with valid credentials.
E5: There is a vague mention of feedback from experts, but nothing specific.",1.8
Case002_45231.pdf,,Placeholder text for scoring.,4,5,2,3,1,4,4,2,2,1,,,,,,,,,,,"Your work could be improved by connecting the STEM principles directly to more of your high priority criteria, such as segmenting the box, guillotine, connecting to visibility, and maybe how handles impact weight management and mvoement of the box. For E3, 4, 5 we need to know more what your engineering teacher told you about your connections to the STEM principles, how that feedback impacted your design,  and ideally have more than one expert.",2.2
Case003_45434.pdf,,Placeholder text for scoring.,4,5,4,3,4,4,4,2,2,1,,,,,,,,,,,"This section was fantastic.  The engineers clearly demonstrated an understanding of physics and mathematical principles as they pertained to their design. To support all of the design requirements, they would needed to have discussed the 3-box design and how they planned to keep them together, as well as the door and it's locking mechanism. 
There is evidence that an expert reviewed the principles but no detailed evaluation or suggestions for corrective measures.",2.2
Case004_01223.pdf,,Placeholder text for scoring.,0,1,2,2,3,3,4,3,2,2,,,,,,,,,,,"no credit given for E1- not enough about materials science to give credit, no mention of other principles outside the design process",2.4
Case005_24555.pdf,,Placeholder text for scoring.,2,4,5,5,5,4,4,4,4,3,,,,,,,,,,,Comprehensive review from experts with solid reflection.,3.8
Case006_01000.pdf,,Placeholder text for scoring.,0,1,0,0,0,3,3,1,1,1,,,,,,,,,,,"E1. None of the STEM principles here relate to the design requirements of AI accuracy and decreasing workload for healthcare workers.
E2. The STEM principles listed relate to the general application of AI to solve the problem but not to the student's specific attempt to use AI in their solution.
E3-5. There is no evidence of expert review.",1
Case007_20000.pdf,,Placeholder text for scoring.,2,0,0,0,0,3,3,1,1,1,,,,,,,,,,,"Statistical analysis on big amounts of data to find trends IS how AI works, so some credit given for E1",1
Case008_01211.pdf,,Placeholder text for scoring.,0,1,2,1,1,2,2,2,1,2,,,,,,,,,,,"mentions stem principles like graph theory and coordinates, software but that's it",1
Case009_30000.pdf,,Placeholder text for scoring.,3,0,0,0,0,3,2,1,1,1,,,,,,,,,,,"E1: Some of the connections between STEM practices/principles and the design requirements could use a bit more depth (though each high priority design requirements is linked to a STEM practices/principle). 
E2: There are no connections between STEM practices/principles and the design solution. 
E3-E5: There is no evidence of expert review.",0.8
Case010_33555.docx,,Placeholder text for scoring.,3,3,5,5,5,2,3,2,3,3,,,,,,,,,,,"E1 & E2: Each design solution and design requirements is linked to a STEM principle. These connections are just sometimes vague, and could use more detail to really understand the author's thinking and understanding of STEM principles. 
E3: There are summaries of the responses from each field expert. 
E4: There is documentation of what makes each expert an expert. 
E5: In general, there is a summary of the corrective response after the feedback from each of the field experts.",2.2
Case011_32454.docx,,Placeholder text for scoring.,3,2,4,5,4,2,3,2,4,3,,,,,,,,,,,STEM principle connections are not well developed. Expert review is summarized,2.4
Case012_32243.docx,,Placeholder text for scoring.,3,2,2,4,3,3,3,2,2,2,,,,,,,,,,,"E1. The STEM principles (""calculating what soil moisture levels were considered wet and dry, and finding the average to include into our code"") are indirectly related to accuracy of the device as well as real-time feedback.
E2. Students go into detail describing the moisture calculations and how these figure into their design decisions.
E3. Students describe asking these experts to review their STEM practices, but it appears that they've only reviewed the design overall.
E4. The students' teacher as well as an IT person at their school reviewed their STEM principles.
E5. The students describe creating an enclosure for their wiring based on the experts' feedback. However, it's unclear if this feedback is related specifically to these STEM principles or to the design overall.",1.8
Case013_22233.pdf,,Placeholder text for scoring.,2,2,2,3,3,3,3,2,3,3,,,,,,,,,,,"Credit given for geometry and measurement connections to designing the room, but more detail about scale model (was it a scale model? how were these measurements determined?) would substantiate claims. Still at a very elementary level.
Feedback from experts is about specific design (plastic bags with water or coding on notificaiton tool) . Could have used notes  from the convos as evidence.",2.4
