filename,source_type,text,C1__expert,C2__expert,C3__expert,C4__expert,C5__expert,C6__expert,C1,C2,C3,C4,C5,C6,C1_flag,C2_flag,C3_flag,C4_flag,C5_flag,C6_flag,C1_rationale,C2_rationale,C3_rationale,C4_rationale,C5_rationale,C6_rationale,narrative_feedback,element_score_raw
Case001_241322.pdf,,,2,4,1,3,2,2,3,4,5,4,4,4,,,,,,,"The design requirements are somewhat related to prior research, but the linkage is not explicitly stated for all requirements.","The design requirements are listed, prioritized, generally clear, and detailed. However, the prioritization could be more explicit.",Five of the design requirements listed are identified as high priority.,"The design requirements are nearly always objective and measurable, but some could be more explicitly defined.","The design requirements would likely lead to a tangible and viable problem solution, but the connection could be more explicitly stated.","There is evidence that requirements represent the needs of, and have been validated by, some primary stakeholder groups, but not all.","The design requirements are generally well-developed and prioritized, with five high-priority requirements identified. They are nearly always objective and measurable, and would likely lead to a tangible and viable problem solution. However, the linkage to prior research could be more explicit for all requirements, and the prioritization could be more clearly stated. Additionally, while there is evidence of validation by some primary stakeholder groups, not all groups are represented. To improve, the student could more explicitly link all requirements to prior research, clarify the prioritization of requirements, and provide evidence of validation by all primary stakeholder groups.",4.00
Case002_555355.pdf,,,5,5,5,3,5,5,4,5,5,4,4,3,,,,,,,"The design requirements are mostly related to prior research, as evidenced by the detailed descriptions and justifications provided for each requirement. However, the connection to research is not explicitly stated for all requirements.","The design requirements are listed, prioritized, clear, and detailed. The requirements are divided into high, medium, and low priority, and each requirement is explained in detail.","Five of the design requirements listed are identified as high priority, meeting the highest level of the rubric.","The design requirements are nearly always objective and measurable. However, some requirements, such as 'comfortable handles' and 'easy to clean', could be more objectively defined.","The design requirements would likely lead to a tangible and viable problem solution. However, the connection between some requirements and the solution could be more explicitly stated.","There is evidence that requirements represent the needs of, and have been validated by, some primary stakeholder groups. However, the validation process is not explicitly described for all requirements.","The design requirements are mostly well-defined and related to prior research, with clear prioritization and detail. However, the connection to research could be more explicitly stated for all requirements. While most requirements are objective and measurable, some could be more objectively defined. The requirements are likely to lead to a viable solution, but the connection between some requirements and the solution could be more explicitly stated. The requirements represent the needs of some primary stakeholder groups, but the validation process is not explicitly described for all requirements. To improve, the student could provide more explicit connections to research, define all requirements objectively, and describe the validation process for all requirements.",4.17
Case003_555550.pdf,,,5,5,5,5,5,0,4,5,5,3,4,2,,,,,,,"The design requirements are mostly related to prior research, as evidenced by the detailed descriptions and justifications provided for each requirement. However, the connection to research is not explicitly stated for all requirements.","The design requirements are listed, prioritized, clear, and detailed. The requirements are divided into high, medium, and low priority, and each requirement is explained in detail.","Five of the design requirements listed are identified as high priority, meeting the highest level of the rubric.","While most of the design requirements are objective and measurable, some, such as 'comfortable handles' and 'easy to clean', are somewhat subjective and lack clear measurable criteria.","The design requirements are likely to lead to a tangible and viable problem solution, as they address specific needs and constraints identified by the stakeholder. However, the connection between some requirements and the solution could be more explicitly stated.","There is evidence that requirements represent the needs of the primary stakeholder, Mr. Hanna, but it is not clear that they have been validated by other stakeholder groups.","The design requirements in this portfolio are well-developed and clearly prioritized, with five high-priority requirements identified. However, while most requirements are objective and measurable, some could benefit from more specific, measurable criteria. For example, 'comfortable handles' could be made more objective by specifying a weight limit or a specific handle design. Similarly, 'easy to clean' could be made more measurable by specifying a maximum cleaning time or a specific cleaning method. The connection between some requirements and the solution could also be more explicitly stated. Finally, while the needs of the primary stakeholder, Mr. Hanna, are well-represented, it would be beneficial to validate the requirements with other stakeholder groups as well.",3.83
Case004_035222.pdf,,,0,3,5,2,2,2,3,4,5,4,4,3,,,,,,,"The design requirements are generally related to prior research, as evidenced by the references to client conversations and user needs. However, the linkage to research is not explicitly stated for all requirements.","The design requirements are listed, prioritized, generally clear, and detailed. However, the prioritization could be more explicitly stated, and some requirements could be more specific.","Five of the design requirements listed are identified as high priority, meeting the highest level of the rubric.","The design requirements are nearly always objective and measurable, with clear criteria such as 'must fit the client', 'zero permanent impact', and 'must not slow down the user'. However, some requirements could be more quantifiable.","The design requirements would likely lead to a tangible and viable problem solution, as they address specific user needs and constraints. However, the connection to a specific solution could be more explicit.","There is evidence that requirements represent the needs of, and have been validated by, the client, who is a primary stakeholder. However, it is not clear if other stakeholder groups were involved.","The design requirements in this portfolio are generally well-developed, with clear links to user needs and constraints. However, there are areas for improvement. For C1, the linkage to prior research could be more explicit for all requirements. For C2, the prioritization of requirements could be more clearly stated, and some requirements could be more specific. For C4, some requirements could be more quantifiable to ensure they are objectively measurable. For C6, it would be beneficial to involve more stakeholder groups in the validation of requirements. Overall, the portfolio demonstrates a good understanding of the design process, but could benefit from more rigorous application of research and stakeholder validation.",3.83
Case005_245343.pdf,,,2,4,5,3,4,3,0,4,5,3,4,2,,,,,,,There is no explicit evidence of design requirements being related to prior research.,"Design requirements are listed, prioritized, generally clear, and detailed.",Five of the design requirements listed are identified as high priority.,"Design requirements are generally objective and measurable, but some could be more specific.",Design requirements would be likely to lead to a tangible and viable problem solution.,"There is evidence that requirements represent the needs of, and have been validated by, some primary stakeholder groups, but the exact percentage is not specified.","The design requirements are well listed, prioritized, and generally clear, earning a score of 4 in category C2. Five high-priority requirements are identified, earning a perfect score in category C3. However, the requirements could be more specific and measurable, resulting in a score of 3 in category C4. The requirements are likely to lead to a viable solution, earning a score of 4 in category C5. There is some evidence of stakeholder validation, but the exact percentage is not specified, resulting in a score of 2 in category C6. There is no evidence of the design requirements being related to prior research, resulting in a score of 0 in category C1. For improvement, more specific and measurable requirements should be provided. Also, the connection between the design requirements and prior research should be explicitly stated. Lastly, more evidence of stakeholder validation should be provided.",3.00
Case006_000300.docx,,,0,0,0,3,0,0,2,2,0,3,4,1,,,,,,,"The design requirements are somewhat related to prior research, but the connection is not explicitly stated or quantified.","The requirements are listed but lack clear structure, specificity, and prioritization.",No high-priority design requirements are identified.,"The requirements are generally objective and measurable, but some are vague or subjective.",The requirements would likely lead to a tangible and viable problem solution.,"There is minimal evidence that the requirements represent the needs of, and have been validated by, primary stakeholder groups.","The portfolio shows some understanding of design requirements, but lacks depth and specificity in several areas. The connection between the requirements and prior research (C1) is not clearly articulated, and the requirements themselves (C2) lack clear structure and prioritization. No high-priority requirements are identified (C3), which could limit the effectiveness of the design. While the requirements are generally objective and measurable (C4), some are vague or subjective, which could make them difficult to implement. The requirements would likely lead to a tangible solution (C5), but there is minimal evidence of validation by primary stakeholders (C6). To improve, the student should clearly articulate the connection between the requirements and prior research, prioritize the requirements, and provide evidence of stakeholder validation.",2.00
Case007_100100.docx,,,1,0,0,1,0,0,1,2,0,3,4,2,,,,,,,The design requirements are mentioned but there is no clear link to prior research.,"The requirements are listed but lack clear structure, specificity, and prioritization.",There is no clear identification of high-priority design requirements.,"The requirements are generally objective and measurable, but this is not consistently applied.",The design requirements would likely lead to a tangible and viable problem solution.,"There is evidence of stakeholder validation, but it is not clear what percentage of primary stakeholder groups this represents.","The design requirements are mentioned but lack clear linkage to prior research, resulting in a score of 1 for C1. The requirements are listed but lack clear structure, specificity, and prioritization, leading to a score of 2 for C2. There is no clear identification of high-priority design requirements, resulting in a score of 0 for C3. The requirements are generally objective and measurable, but this is not consistently applied, leading to a score of 3 for C4. The design requirements would likely lead to a tangible and viable problem solution, resulting in a score of 4 for C5. There is evidence of stakeholder validation, but it is not clear what percentage of primary stakeholder groups this represents, leading to a score of 2 for C6. To improve, the design requirements should be clearly linked to prior research, prioritized, and made consistently objective and measurable. Additionally, high-priority design requirements should be clearly identified, and stakeholder validation should be more clearly demonstrated.",2.00
Case008_113212.docx,,,1,1,3,2,1,2,5,4,3,4,4,5,,,,,,,All design requirements are clearly related to prior research.,"Design requirements are listed, prioritized, generally clear, and detailed.",Three of the design requirements listed are identified as high priority.,Design requirements are nearly always objective and measurable.,Design requirements would be likely to lead to a tangible and viable problem solution.,"There is evidence that requirements represent the needs of, and have been validated by, 100% of primary stakeholder groups.","The student has done a commendable job in relating the design requirements to prior research, earning a score of 5 in C1. The requirements are listed, prioritized, and generally clear, earning a score of 4 in C2. However, only three requirements are identified as high priority, resulting in a score of 3 in C3. The requirements are nearly always objective and measurable, earning a score of 4 in C4. They are also likely to lead to a tangible and viable problem solution, earning a score of 4 in C5. The student has done an excellent job in validating the requirements with the primary stakeholder groups, earning a score of 5 in C6. For improvement, the student could work on clearly identifying more high-priority requirements and ensuring all requirements are consistently objective and measurable.",4.17
Case009_025430.pdf,,,0,2,5,4,3,0,0,3,5,2,3,0,,,,,,,There is no explicit evidence that the design requirements are related to prior research.,"Design requirements are listed and prioritized, generally clear, and somewhat detailed.",Five of the design requirements listed are identified as high priority.,Design requirements may be only sometimes objective and/or measurable.,Design requirements have a potential to lead to a tangible and viable problem solution.,"There is no evidence that requirements represent the needs of, and have been validated by, any primary stakeholder groups.","The design requirements are listed and prioritized, but there is no evidence of them being related to prior research, hence a score of 0 for C1. While five requirements are identified as high priority, earning a score of 5 for C3, they are only sometimes objective or measurable, resulting in a score of 2 for C4. The requirements have potential to lead to a solution, earning a score of 3 for C5, but there is no evidence of validation by primary stakeholder groups, resulting in a score of 0 for C6. To improve, the student should explicitly link the requirements to prior research, ensure all requirements are objective and measurable, and provide evidence of validation by primary stakeholders.",2.17
Case010_455242.docx,,,4,5,5,2,4,2,5,5,5,4,4,5,,,,,,,"The design requirements are clearly related to prior research, as evidenced by the explicit references to previous designs such as the Rubik’s Snake, Monkey Doodle, and Wacky Tracks.","The design requirements are listed, prioritized, clear, and detailed. Each requirement is labeled as either high or low priority, and the reasoning behind each requirement is explained.","Five of the design requirements listed are identified as high priority, meeting the highest level of the rubric.","The design requirements are nearly always objective and measurable. However, the requirement about the fidget toy being colorful could be more specific and measurable.","The design requirements would likely lead to a tangible and viable problem solution. However, the requirement about the fidget toy being colorful does not directly contribute to the solution.","There is evidence that requirements represent the needs of, and have been validated by, the primary stakeholder group, as indicated by the statements 'The stakeholder has approved of this design requirement.'","The design requirements presented in this portfolio are well-developed, clearly prioritized, and directly related to prior research, earning scores of 5 in categories C1, C2, and C3. The requirements are nearly always objective and measurable, earning a score of 4 in category C4. The requirement about the fidget toy being colorful could be more specific and measurable. The requirements are likely to lead to a tangible and viable problem solution, earning a score of 4 in category C5. However, the requirement about the fidget toy being colorful does not directly contribute to the solution. The requirements have been validated by the primary stakeholder group, earning a score of 5 in category C6. To improve, consider making all requirements directly contribute to the solution and ensure that all requirements are specific and measurable.",4.67
