filename,SubmissionYear,source_type,text,D1__expert,D2__expert,D3__expert,D4__expert,D1,D2,D3,D4,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,D1_rationale,D2_rationale,D3_rationale,D4_rationale,narrative_feedback,element_score_raw,expert_score,fractional_part,score_type,band_center_distance,selection_year,selection_band
Case001_4330.pdf,2025,,Placeholder text for scoring.,4,3,3,0,4,4,2,2,,,,,,,"The submission demonstrates a thorough and iterative process for generating and comparing multiple design concepts, including brainstorming, group discussion, elimination of infeasible ideas, and use of a decision matrix with weighted criteria. The process is generally defensible and shows clear consideration of design viability.","The chosen design solution (two-pole ski-like handle) is justified with reference to multiple design requirements such as assembly time, height adaptability, force needed, and ergonomic considerations. The decision matrix scores support the choice, showing attention to most design requirements.","The plan of action includes some general steps for prototyping and sizing based on available materials and fitting the cart, but lacks detailed, structured procedures or clear testing protocols. The approach to testing is vague and experimental without explicit plans for replication or systematic evaluation.","The design blueprint is described in somewhat general terms with references to sizing and assembly, but lacks detailed, specific, and thorough presentation of design attributes. There is no clear evidence of labeled diagrams or comprehensive technical details.","This submission shows strong strengths in the generation and selection of design concepts (D1 and D2). The team effectively brainstormed multiple ideas, used a decision matrix with weighted criteria, and iteratively refined their choices. Their justification for selecting the two-pole ski-like handle is well supported by reference to key design requirements, demonstrating thoughtful consideration of usability and ergonomics.

However, the plan of action (D3) is underdeveloped, lacking clear, detailed steps for testing and evaluation. The approach is largely experimental without structured protocols or criteria for assessing effectiveness, which limits the ability to replicate or validate the design. Similarly, the design blueprint (D4) is only somewhat specific and lacks thorough detail or labeled diagrams, making it difficult to fully understand the final design attributes.

To improve, the team should develop a detailed testing plan with clear procedures and measurable criteria to evaluate the prototype’s performance. Additionally, providing comprehensive, labeled design blueprints or CAD drawings would enhance clarity and communication. Finally, documenting iterative design changes and rationale during prototyping would strengthen the overall design process documentation.",3,2.5,0.5,half,0,2025,3-Feb
Case004_1300.pdf,2025,,Placeholder text for scoring.,1,3,0,0,4,4,1,1,,,,,,,"The submission presents four distinct design concepts with detailed descriptions and a decision matrix to compare them. The process is thorough and iterative, involving brainstorming, individual idea generation, group discussion, and evaluation. However, while generally defensible, the process lacks explicit iterative refinement cycles or deeper exploration beyond the initial four concepts.","The chosen Lever Arm design is justified with clear reference to design requirements such as simplicity, cost, strength, removability, and aesthetics. The comparison to other concepts, especially the Leg Clamps, strengthens the justification. Some minor design requirements like vibration reduction and adjustability are acknowledged as trade-offs.","There is no explicit plan of action or testing methodology described. The document mentions limited time for building, testing, and changes but does not provide any structured or detailed plan for how the design will be tested or validated.","The document lacks any detailed design blueprint, sketches, diagrams, or labeled components. The descriptions of the design are textual and somewhat detailed but do not provide the thorough, specific, and visual detail expected for a higher score.","This submission demonstrates strong design concept generation and selection (D1 and D2). The team effectively brainstormed multiple solutions and used a decision matrix to compare them, showing thoughtful consideration of design requirements such as strength, removability, and aesthetics. The justification for choosing the Lever Arm design is clear and well supported by comparisons to alternatives, highlighting the design’s simplicity and feasibility.

However, the submission has notable weaknesses in planning and communication. There is no clear or detailed plan of action for testing the design (D3), which limits the ability to evaluate the design’s effectiveness or support replication. Additionally, the absence of any design blueprints, sketches, or labeled diagrams (D4) reduces clarity and thoroughness in communicating the chosen solution’s attributes.

To improve, the team should develop a detailed testing plan outlining specific steps, criteria, and metrics for evaluating the design’s performance. Including labeled sketches or CAD drawings would enhance the design blueprint and provide clearer communication. Finally, iterative refinement cycles with documented feedback could strengthen the design concept generation process further.",2.5,1,0,integer,0.5,2025,2-Jan
Case006_0000.pdf,2025,,Placeholder text for scoring.,0,0,0,0,2,3,0,1,,,,,,,"The submission discusses a single design concept focused on AI for cancer detection, with some general reasoning about specialization and diagnosis benefits. However, it lacks evidence of multiple design ideas or iterative comparison, making the process partial and only somewhat defensible.","The chosen design solution is explained with reference to some design requirements such as improving diagnosis speed and accuracy, and addressing healthcare communication issues. However, justification is limited and does not comprehensively address all requirements or compare alternatives.",There is no evidence of a plan of action or testing strategy described in the submission.,"The design attributes are described in a sparse and general manner without specific, detailed, or thorough presentation. No blueprint, diagram, or detailed design documentation is provided.","This submission presents a focused design concept centered on using AI to improve cancer detection, highlighting potential benefits such as specialization in diagnosis and reducing healthcare personnel workload (D1, D2). The explanation shows some understanding of relevant design requirements, including accuracy and communication improvements, which strengthens the justification for the chosen solution. However, the design concept generation lacks breadth and iteration, as only one main idea is explored without comparison to alternatives, limiting the defensibility of the approach (D1).

Significant weaknesses are evident in the absence of a clear plan of action or testing methodology (D3), which is critical for validating the design's effectiveness. Additionally, the design blueprint is minimal and lacks detail, specificity, or visual aids that would clarify the solution's attributes and implementation (D4). To improve, the student should develop multiple design alternatives and iteratively compare them to strengthen the concept generation process. They should also provide a detailed, step-by-step testing plan to demonstrate how the design will be evaluated. Finally, including detailed design documentation or diagrams would enhance clarity and support replication and understanding of the solution.",1.5,0,0,integer,0.5,2025,0-1
Case010_4134.docx,2025,,Placeholder text for scoring.,4,1,3,4,3,3,2,2,,,,,,,"The student presents multiple design ideas (five in total) with brief descriptions and some sketches, indicating an iterative process. However, the descriptions are minimal and lack depth, and the iteration is not clearly documented as a process. The comparison is partially supported by a decision matrix, but the rationale behind weighting and scoring is not fully explained.","The design solution choice is supported by a decision matrix comparing options against weighted design requirements. While this shows some justification, the explanation is limited and does not fully address all design requirements or provide a strong rationale for the final choice.","The plan of action is presented as a weekly schedule with general tasks such as creating CAD files, printing, sharing, revising, and presenting designs. However, it lacks sufficient detail on how testing will be conducted or how effectiveness will be measured, limiting its usefulness for replication or evaluation.","The design blueprint includes sketches and some notes on manufacturing methods and materials, but the details are sparse and incomplete. The sketches are not clearly labeled or thoroughly explained, and the supply list is incomplete, reducing clarity and thoroughness.","This submission demonstrates a solid start in design concept generation and selection (D1, D2) by presenting multiple design ideas and using a decision matrix to compare options. The inclusion of several concepts shows an understanding of exploring alternatives, and the matrix attempts to relate choices to design requirements. However, the descriptions and justifications lack depth and clarity, limiting the strength of the rationale for the chosen design.

Key weaknesses lie in the plan of action (D3) and design blueprint (D4). The testing plan is too general and does not specify how the design will be evaluated or how results will be measured, which hinders reproducibility and assessment of effectiveness. The design blueprint lacks detailed, labeled sketches and comprehensive documentation of materials and manufacturing steps, making it difficult to fully understand or replicate the design.

To improve, the student should provide more detailed explanations of the iterative design process and decision rationale, develop a clear, step-by-step testing plan with measurable criteria, and enhance the design blueprint with labeled, detailed drawings and complete material lists. These improvements will strengthen the overall design documentation and support effective evaluation and replication.",2.5,3,0,integer,0.5,2025,4-Mar
Case012_3113.pdf,2025,,Placeholder text for scoring.,3,1,1,3,3,3,2,2,,,,,,,"The student presented four distinct design ideas with descriptions and some comparison criteria, showing an iterative and generally defensible process. However, the process lacks depth in iteration and detailed analysis, and the drawings are not described in detail.","The chosen design (Sunshine Pipe) is explained with reference to some design requirements such as ease of building, sturdiness, mold prevention, and aesthetics. The justification is basic and lacks detailed reasoning or quantitative comparison.","The plan of action includes basic steps for installation and a vague mention of checking for mold after two weeks and a month, but lacks sufficient detail to support replication or thorough testing.","The design blueprint includes a simple stepwise plan and a supply list with costs, but lacks detailed, specific, or thorough attributes of the design. Sketches or CAD drawings are referenced but not described or detailed.","This submission demonstrates a solid start in design concept generation and selection (D1, D2). The student developed multiple design ideas and compared them using weighted criteria, which shows an understanding of exploring alternatives. The choice of the Sunshine Pipe is linked to relevant design requirements such as mold prevention and ease of construction, providing a reasonable justification. However, the explanation lacks depth and could benefit from more detailed reasoning and quantitative support.

Key weaknesses lie in the plan of action (D3) and design blueprint (D4). The testing plan is minimal and vague, offering only a brief timeline for mold checks without clear procedures or metrics, limiting its usefulness for replication or evaluation. The design blueprint is also underdeveloped, with no detailed drawings or thorough descriptions of components and manufacturing methods. To improve, the student should develop a more detailed and structured testing plan, including specific criteria and methods for evaluation. Additionally, providing clear, labeled sketches or CAD drawings with detailed annotations would strengthen the blueprint. Expanding the justification with more explicit links to design requirements and including iterative refinements would also enhance the overall design documentation.",2.5,2,0,integer,0.5,2025,3-Feb
Case021_1001.pdf,2025,,Placeholder text for scoring.,1,0,0,1,1,3,1,1,,,,,,,No clear process for generating or comparing multiple design solutions is provided; only a brief mention of two options without elaboration or iteration.,"The chosen design solution (wood over 3D printing) is explained with reference to the requirement that it 'had to work' and time constraints, but justification is minimal and lacks depth.","No explicit plan of action is described; the student states they 'did not really have a plan' and only followed a prototype, indicating insufficient detail for replication or testing.",Design attributes are described sparsely and generally; no detailed or specific blueprint or thorough description is provided.,"The submission shows a basic awareness of design concept generation and selection, with some consideration of alternative materials (wood vs. 3D printing) and a simple justification based on time constraints (D1, D2). This indicates an initial attempt to weigh options and meet design requirements, which is a positive starting point. However, the process lacks depth and iteration, limiting confidence in the viability of the design.

Significant weaknesses are evident in the planning and communication of the design. The absence of a clear plan of action (D3) means the design cannot be reliably replicated or tested, which is critical for engineering projects. Additionally, the design blueprint (D4) is minimal and lacks specific details or thorough descriptions, reducing clarity and understanding of the final solution.

To improve, the student should document multiple design ideas and iterations with clear comparisons to strengthen D1. They should provide a more detailed justification linking the chosen design to all key requirements for D2. Developing a structured plan of action with step-by-step instructions would enhance D3. Finally, creating detailed, labeled design blueprints or diagrams with thorough descriptions would significantly improve D4 and overall communication.",1.5,0.5,0.5,half,0,2025,0-1
Case036_2103.pdf,2025,,Placeholder text for scoring.,2,1,0,3,3,2,1,2,,,,,,,"The student presents multiple design ideas with dates and descriptions, showing an iterative process. However, the descriptions are brief and lack detailed comparison or analysis, limiting defensibility.","The chosen design is identified as 'Design Element #5,' but no explanation or justification referencing design requirements is provided.","No clear plan of action or testing procedure is described, making it difficult to assess how the design solution would be tested or replicated.","Some design attributes are mentioned in text, but details are incomplete and overly general. No clear, detailed blueprint or labeled diagrams are provided.","This submission demonstrates a reasonable effort in generating multiple design concepts (D1), showing an iterative approach with several dated ideas. This breadth of ideas is a strength, indicating the student explored alternatives rather than settling on a single concept. However, the descriptions lack depth and comparative analysis, which limits the defensibility and clarity of the design selection process.

The justification for the chosen design (D2) is minimal, with no explicit explanation linking the selection to design requirements. This weakens the rationale behind the decision and leaves the reader uncertain about why the final design was preferred. Additionally, the plan of action (D3) is notably absent, with no details on how the design will be tested or validated, which is a critical gap for assessing feasibility and effectiveness.

Design communication (D4) is also underdeveloped; while some attributes are described, the lack of detailed, specific blueprints or labeled diagrams reduces clarity. To improve, the student should provide a clear justification for the chosen design referencing requirements, develop a detailed testing plan outlining steps and criteria for success, and include thorough, labeled design blueprints or sketches to better communicate the solution.",2,1.5,0.5,half,0,2025,2-Jan
Case043_4433.docx,2025,,Placeholder text for scoring.,4,4,3,3,4,4,2,2,,,,,,,"The submission demonstrates a thorough and iterative process for generating and comparing multiple design solutions, including internal and external locking mechanisms, use of a decision matrix, and incorporation of stakeholder feedback. The process is generally defensible and shows clear evolution of ideas, though some steps lack depth in analysis.","The chosen design solution is justified with reference to multiple design requirements via a decision matrix and stakeholder feedback. The rationale for moving from the rubber tube to the pin-lock design is clearly explained, showing attention to most design requirements.","The plan of action includes some testing steps such as trying different rubber bands and iterative prototyping, but details are insufficient to fully support replication or thorough testing. The later pin-lock design testing is described narratively but lacks a structured, detailed testing plan.","The design blueprint includes CAD sketches and photos referenced in the text, but these are not fully described or labeled in detail. The final design is described verbally, but the visual communication is incomplete and somewhat general.","Your design concept generation and selection process (D1 and D2) is a clear strength of this submission. You explored multiple solutions, including internal and external locking mechanisms, and used a decision matrix to compare alternatives against design requirements. The iterative nature of your approach, combined with stakeholder feedback, shows thoughtful development and justification of your final design choice.

However, the plan of action (D3) lacks sufficient detail to enable others to replicate or thoroughly test your design. While you describe some testing steps, a more structured and detailed testing protocol would strengthen this section. Additionally, the design blueprint (D4) is underdeveloped; although you reference CAD sketches and photos, these visuals are not fully detailed or labeled, limiting clarity for others trying to understand or build your design.

To improve, consider developing a comprehensive testing plan with clear procedures and criteria for success. Enhance your design documentation by providing detailed, labeled diagrams or CAD drawings that clearly communicate your solution’s attributes. Finally, explicitly link each design requirement to your testing and blueprint details to create a more cohesive and robust presentation.",3,3.5,0.5,half,0,2025,4-Mar
Case067_5535.pdf,2025,,Placeholder text for scoring.,5,5,3,5,4,4,2,3,,,,,,,"The submission demonstrates a thorough and iterative process for generating and comparing multiple design concepts, including brainstorming, evaluation against design requirements, and use of a weighted decision matrix. The process is generally defensible and shows clear consideration of viability.","The chosen design solution, the 'Sticky Tube,' is justified through a weighted decision matrix that compares it against other concepts based on multiple criteria. The justification addresses most design requirements, though some details on how each requirement influenced the final choice could be more explicit.","There is no clear or detailed plan of action for testing the design solution. While the prototype description includes design modifications, there is no explanation of how the design will be tested or how others could replicate or evaluate its effectiveness.","The design blueprint is somewhat specific and detailed, describing dimensions, materials, and modifications such as the 3D-printed tube and integrated lens. However, it lacks thoroughness and visual aids or labeled diagrams to fully communicate the design.","This submission shows strong strengths in design concept generation and selection (D1 and D2). The team effectively brainstormed multiple solutions and used a weighted decision matrix to compare and justify their choice of the 'Sticky Tube' design. This approach demonstrates thoughtful consideration of design requirements and ethical factors, which strengthens the defensibility of their solution. The iterative nature of their process and the clear documentation of alternatives are commendable.

However, the submission lacks a clear and detailed plan for testing the design (D3). Without a structured testing plan, it is difficult to assess how the design’s effectiveness will be evaluated or replicated by others. Additionally, while the design blueprint (D4) provides some useful details about the prototype’s dimensions and materials, it falls short of being thorough or fully specific. Including labeled diagrams or more comprehensive descriptions would improve clarity and communication.

To improve, the team should develop a detailed testing plan outlining procedures, metrics, and replication steps. Enhancing the design blueprint with clear visuals and labeled components would also strengthen the documentation. Finally, expanding the justification to explicitly link design requirements to the final choice would provide a more robust rationale.",3.25,4.5,0.5,half,0,2025,5-Apr
Case102_5533.pdf,2025,,Placeholder text for scoring.,5,5,3,3,3,3,3,2,,,,,,,"The student presented multiple design options (string suspension, staircase, diagonal slope, vertical, living wood) and compared them using a table with criteria such as weight and size. The process shows some iteration and comparison, but the descriptions are brief and lack depth in analysis or iteration details.","The chosen design is explained as a combination of options 1 and 5, justified by being lightweight, sturdy, and fitting the shelf. However, the justification references only some design requirements and lacks detailed reasoning or trade-off analysis.","The plan of action outlines a day-by-day schedule with materials, tools, and steps for construction and finishing. While it provides a sequence of activities, it lacks explicit details on how effectiveness or design performance will be tested or evaluated.","The design blueprint is minimal, with only a materials list mentioned and vague references to sketches. There is no detailed, labeled, or thorough presentation of the design attributes, limiting clarity and completeness.","This submission demonstrates a solid start in design concept generation and selection. The student identified multiple design alternatives and compared them using relevant criteria, showing an understanding of the need to explore options (D1). The choice of combining two options is explained with reference to key requirements like weight and sturdiness, indicating some attention to design needs (D2). However, the justification could be strengthened by deeper analysis of trade-offs and clearer linkage to all design requirements.

The plan of action provides a clear timeline and outlines construction steps, but it lacks explicit details on how the design’s effectiveness will be tested or validated, which is critical for ensuring the solution meets its goals (D3). Additionally, the design blueprint is underdeveloped, with no detailed sketches or labeled diagrams to communicate the design clearly (D4). To improve, the student should expand the analysis of design alternatives with more iteration and rationale, develop a testing plan that specifies how performance will be measured, and provide detailed, labeled design drawings or schematics. These enhancements will strengthen the overall design documentation and support successful implementation.",2.75,4,0,integer,0.5,2025,5-Apr
